instruction,e8_m1,e8_m2,e8_m4,e8_m8,e16_m1,e16_m2,e16_m4,e16_m8,e32_m1,e32_m2,e32_m4,e32_m8
"vmulh.vx v8,v16,t0","2,375","2,375","4,025",8,"2,35","2,35",4,8,"2,35","2,35",4,8
"vmulh.vx v8,v16,t0,v0.t","2,325","2,325","3,975",8,"2,325","2,325",4,8,"2,325","2,325",4,8
"vmadd.vv v8,v16,v24","0,975","1,975",4,8,1,2,"3,975",8,1,2,4,"7,975"
"vmadd.vv v8,v16,v24,v0.t","1,025","2,025",4,"8,025",1,2,4,8,"0,975","1,975","3,975",8
"vmacc.vv v8,v16,v24",1,2,"3,975",8,"1,025","2,025","4,025",8,1,2,4,"8,025"
"vmacc.vv v8,v16,v24,v0.t",1,2,4,8,"0,975","1,975",4,"8,025","1,025","2,025",4,8
"vnsra.vv v8,v16,v24","2,025","4,025","8,025",-,2,4,8,-,"1,975",4,8,-
"vnsra.vv v8,v16,v24,v0.t","1,975",4,8,-,2,4,8,-,"2,025","4,025","8,025",-
"vnsra.vx v8,v16,t0",3,5,9,-,3,5,9,-,3,5,9,-
"vnsra.vx v8,v16,t0,v0.t","2,975","4,975",9,-,3,5,9,-,3,5,9,-
"vnsra.vi v8,v16,13","2,025","4,025","8,025",-,2,4,8,-,"1,975",4,8,-
"vnsra.vi v8,v16,13,v0.t","1,975",4,8,-,2,4,8,-,"2,025","4,025","8,025",-
"vnclipu.vv v8,v16,v24",2,4,8,-,"1,975",4,8,-,"2,025",4,8,-
"vnclipu.vv v8,v16,v24,v0.t",2,4,8,-,"2,025",4,8,-,"1,975",4,8,-
"vnclipu.vx v8,v16,t0",3,5,9,-,"3,025","5,025","9,025",-,"2,975","4,975",9,-
"vnclipu.vx v8,v16,t0,v0.t",3,5,9,-,3,5,"8,975",-,"3,025","5,025","9,025",-
"vnclipu.vi v8,v16,13",2,4,8,-,"1,975",4,8,-,"2,025",4,8,-
"vnclipu.vi v8,v16,13,v0.t",2,4,8,-,"2,025",4,8,-,"1,975",4,8,-
"vnclip.vv v8,v16,v24","1,975",4,8,-,2,"3,975","7,975",-,2,4,8,-
"vnclip.vv v8,v16,v24,v0.t","2,025",4,8,-,2,4,8,-,"1,975","3,975","7,975",-
"vnclip.vx v8,v16,t0","3,025","5,025","9,025",-,3,5,9,-,"3,025","5,025",9,-
"vnclip.vx v8,v16,t0,v0.t",3,5,"8,975",-,3,5,9,-,"2,975","4,975",9,-
"vnclip.vi v8,v16,13","1,975",4,8,-,2,"3,975","7,975",-,2,4,8,-
"vnclip.vi v8,v16,13,v0.t","2,025",4,8,-,2,4,8,-,"1,975","3,975","7,975",-
"vnmsub.vv v8,v16,v24",1,2,"3,975",-,"1,025","2,025","4,025",-,1,2,4,-
"vnmsub.vv v8,v16,v24,v0.t",1,2,4,-,"0,975","1,975",4,-,"1,025","2,025",4,-
"vnmsac.vv v8,v16,v24","1,025","2,025","4,025",-,1,2,4,-,"0,975","1,975",4,-
"vnmsac.vv v8,v16,v24,v0.t","0,975","1,975",4,-,1,2,4,-,"1,025","2,025","4,025",-
"vwredsumu.vs v8,v16,v24",1,4,5,-,"0,975","3,975",5,-,"1,025","4,025",5,-
"vwredsumu.vs v8,v16,v24,v0.t",1,4,5,-,"1,025","4,025",5,-,"0,975","3,975",5,-
"vwredsum.vs v8,v16,v24","0,975","3,975",5,-,1,4,"4,975",-,1,4,5,-
"vwredsum.vs v8,v16,v24,v0.t","1,025","4,025",5,-,1,4,5,-,"0,975","3,975","4,975",-
"vwsmaccu.vv v8,v16,v24",1,"1,975","3,975",-,"1,025","2,025","4,025",-,1,2,4,-
"vwsmaccu.vv v8,v16,v24,v0.t",1,2,4,-,"0,975",2,4,-,"1,025",2,4,-
"vwsmacc.vv v8,v16,v24","1,025","2,025","4,025",-,1,2,4,-,"0,975",2,4,-
"vwsmacc.vv v8,v16,v24,v0.t",1,2,4,-,"0,975",2,"4,025",-,"1,025","2,025","4,025",-
"vwsmaccsu.vv v8,v16,v24",1,"1,975","4,025",-,"1,025","2,025",4,-,"1,025",2,4,-
"vwsmaccsu.vv v8,v16,v24,v0.t","0,975",2,4,-,1,2,4,-,"0,975",2,4,-
"vwaddu.vv v8,v16,v24","0,975",2,"3,975",-,1,"1,975","4,025",-,1,2,4,-
"vwaddu.vv v8,v16,v24,v0.t",1,2,4,-,"0,975",2,4,-,"0,975","1,975","3,975",-
"vwaddu.vx v8,v16,t0","2,325",3,5,-,"2,325",3,"5,025",-,"2,35","3,025",5,-
"vwaddu.vx v8,v16,t0,v0.t","2,35",3,"4,975",-,"2,325",3,5,-,"2,325","2,975",5,-
"vwadd.vv v8,v16,v24","0,975",2,"3,975",-,1,"1,975","4,025",-,1,2,4,-
"vwadd.vv v8,v16,v24,v0.t",1,2,4,-,"0,975",2,4,-,"0,975","1,975","3,975",-
"vwadd.vx v8,v16,t0","2,325",3,5,-,"2,325",3,"5,025",-,"2,35","3,025",5,-
"vwadd.vx v8,v16,t0,v0.t","2,35",3,"4,975",-,"2,325",3,5,-,"2,325","2,975",5,-
"vwsub.vv v8,v16,v24","0,975",2,"3,975",-,1,"1,975","4,025",-,1,2,4,-
"vwsub.vv v8,v16,v24,v0.t",1,2,4,-,"0,975",2,4,-,"0,975","1,975","3,975",-
"vwsub.vx v8,v16,t0","2,325",3,5,-,"2,325",3,"5,025",-,"2,35","3,025",5,-
"vwsub.vx v8,v16,t0,v0.t","2,35",3,"4,975",-,"2,325",3,5,-,"2,325","2,975",5,-
"vwaddu.wv v8,v16,v24","0,975",2,"3,975",-,1,"1,975","4,025",-,1,2,4,-
"vwaddu.wv v8,v16,v24,v0.t",1,2,4,-,"0,975",2,4,-,"0,975","1,975","3,975",-
"vwaddu.wx v8,v16,t0","2,325",3,5,-,"2,325",3,"5,025",-,"2,35","3,025",5,-
"vwaddu.wx v8,v16,t0,v0.t","2,35",3,"4,975",-,"2,325",3,5,-,"2,325","2,975",5,-
"vwadd.wv v8,v16,v24","0,975",2,"3,975",-,1,"1,975","4,025",-,1,2,4,-
"vwadd.wv v8,v16,v24,v0.t",1,2,4,-,"0,975",2,4,-,"0,975",2,4,-
"vwadd.wx v8,v16,t0","2,325",3,5,-,"2,325",3,"5,025",-,"2,35",3,5,-
"vwadd.wx v8,v16,t0,v0.t","2,35",3,"4,975",-,"2,325",3,5,-,"2,35",3,5,-
"vwsub.wv v8,v16,v24","0,975",2,"3,975",-,1,"1,975","4,025",-,1,"1,975","3,975",-
"vwsub.wv v8,v16,v24,v0.t",1,2,4,-,"0,975",2,4,-,"1,025",2,4,-
"vwsub.wx v8,v16,t0","2,325",3,5,-,"2,325",3,"5,025",-,"2,35","3,025",5,-
"vwsub.wx v8,v16,t0,v0.t","2,35",3,"4,975",-,"2,325",3,5,-,"2,375","3,025","5,025",-
"vwmulu.vv v8,v16,v24","0,975",2,"3,975",-,1,"1,975","4,025",-,"0,975",2,4,-
"vwmulu.vv v8,v16,v24,v0.t",1,2,4,-,"0,975",2,4,-,"1,025",2,4,-
"vwmulu.vx v8,v16,t0","2,325",3,5,-,"2,325",3,"5,025",-,"2,35","3,025",5,-
"vwmulu.vx v8,v16,t0,v0.t","2,35",3,"4,975",-,"2,325",3,5,-,"2,375","3,025","5,025",-
"vwmulsu.vv v8,v16,v24","0,975",2,"3,975",-,1,"1,975","4,025",-,"0,975",2,4,-
"vwmulsu.vv v8,v16,v24,v0.t",1,2,4,-,"0,975",2,4,-,"1,025",2,4,-
"vwmulsu.vx v8,v16,t0","2,325",3,5,-,"2,325",3,"5,025",-,"2,35","3,025",5,-
"vwmulsu.vx v8,v16,t0,v0.t","2,35",3,"4,975",-,"2,325",3,5,-,"2,375","3,025","5,025",-
"vwmul.vv v8,v16,v24","0,975",2,"3,975",-,1,"1,975","4,025",-,"0,975",2,4,-
"vwmul.vv v8,v16,v24,v0.t",1,2,4,-,"0,975",2,4,-,"1,025",2,4,-
"vwmul.vx v8,v16,t0","2,325",3,5,-,"2,325",3,"5,025",-,"2,35","3,025",5,-
"vwmul.vx v8,v16,t0,v0.t","2,35",3,"4,975",-,"2,325",3,5,-,"2,325","2,975",5,-
"vwmaccu.vv v8,v16,v24","0,975",2,"3,975",-,1,"1,975","4,025",-,"1,025","2,025","4,025",-
"vwmaccu.vv v8,v16,v24,v0.t",1,2,4,-,"0,975",2,4,-,"0,975",2,4,-
"vwmacc.vv v8,v16,v24",1,2,4,-,"0,975",2,"3,975",-,1,2,4,-
"vwmacc.vv v8,v16,v24,v0.t","1,025",2,4,-,1,2,4,-,1,2,4,-
"vwmaccsu.vv v8,v16,v24","1,025","2,025",4,-,1,2,4,-,"0,975",2,4,-
"vwmaccsu.vv v8,v16,v24,v0.t",1,2,4,-,"1,025",2,4,-,"1,025",2,4,-
"vfadd.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,475",1,"1,975",4
"vfadd.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,5",1,2,4
"vfadd.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,375","2,375",3,"5,5"
"vfadd.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,35","2,35","2,975","5,5"
"vfsub.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,5",1,2,"3,975"
"vfsub.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,55",1,2,4
"vfsub.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,35","2,35","2,975","5,525"
"vfsub.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,325","2,35","2,975","5,5"
"vfmul.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,5",1,"1,975",4
"vfmul.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,475",1,2,4
"vfmul.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,375","2,375",3,"5,4"
"vfmul.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,35","2,35","2,975","5,4"
"vfdiv.vv v8,v16,v24",-,-,-,-,-,-,-,-,7,14,28,"55,975"
"vfdiv.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,7,14,28,56
"vfdiv.vf v8,v16,ft0",-,-,-,-,-,-,-,-,7,14,28,"56,025"
"vfdiv.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,7,14,28,56
"vfmin.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,5",1,"1,975",4
"vfmin.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,475",1,2,4
"vfmin.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,375","2,375",3,"5,5"
"vfmin.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,35","2,35","2,975","5,5"
"vfmax.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,475",1,2,"3,975"
"vfmax.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,525",1,2,4
"vfmax.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,35","2,35","2,975","5,525"
"vfmax.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,325","2,35","2,975","5,5"
"vfsgnj.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,525",1,"1,975",4
"vfsgnj.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,475",1,2,4
"vfsgnj.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,375","2,375",3,"5,5"
"vfsgnj.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,35","2,35","2,975","5,5"
"vfsgnjn.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,5",1,2,"3,975"
"vfsgnjn.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,525",1,2,4
"vfsgnjn.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,35","2,35","2,975","5,525"
"vfsgnjn.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,325","2,35","2,975","5,5"
"vfsgnjx.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,525",1,"1,975",4
"vfsgnjx.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,475",1,2,4
"vfsgnjx.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,375","2,375",3,"5,5"
"vfsgnjx.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,35","2,35","2,975","5,5"
"vfredsum.vs v8,v16,v24",-,-,-,-,-,-,-,-,"1,775","5,375","23,975",53
"vfredsum.vs v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"1,825","6,125","24,025",53
"vfredosum.vs v8,v16,v24",-,-,-,-,-,-,-,-,"3,025",9,32,"79,025"
"vfredosum.vs v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,3,9,32,79
"vfredmin.vs v8,v16,v24",-,-,-,-,-,-,-,-,"1,775","6,275","23,975","52,975"
"vfredmin.vs v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"1,775","5,375","23,975",53
"vfredmax.vs v8,v16,v24",-,-,-,-,-,-,-,-,"1,825","5,525","24,025",53
"vfredmax.vs v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"1,825","5,2",24,53
"vmfeq.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,475","1,2","5,975",24
"vmfeq.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,55","1,2","6,025",24
"vmfeq.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,35","2,325",4,"24,025"
"vmfeq.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,325","2,35",4,24
"vmfle.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,475","1,2","5,975","23,975"
"vmfle.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,475","1,2","5,975",24
"vmfle.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,375","2,375","4,025",24
"vmfle.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,35","2,35",4,24
"vmford.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,475","1,2","5,975",24
"vmford.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,55","1,2","6,025",24
"vmford.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,35","2,325",4,"24,025"
"vmford.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,325","2,35",4,24
"vmflt.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,475","1,2","5,975","23,975"
"vmflt.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,475","1,2","5,975",24
"vmflt.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,375","2,375","4,025",24
"vmflt.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,35","2,35",4,24
"vmfne.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,475",3,12,-
"vmfne.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,65",3,12,-
"vmfne.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"3,325","3,425",15,-
"vmfne.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"3,35","3,375",15,-
"vmfgt.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,475","1,2","5,975",24
"vmfgt.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,5","1,2","5,975",24
"vmfgt.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,375","2,375","4,025","24,025"
"vmfgt.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,35","2,35",4,24
"vmfge.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,475","1,2","5,975","23,975"
"vmfge.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,55","1,2","6,025",24
"vmfge.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,35","2,325",4,24
"vmfge.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,325","2,35",4,24
"vfrdiv.vf v8,v16,ft0",-,-,-,-,-,-,-,-,7,14,28,"55,975"
"vfrdiv.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,7,14,28,56
"vfcvt.xu.f.v v8,v16,v0.t",-,-,-,-,-,-,-,-,"0,975","1,975","3,975","7,975"
"vfcvt.x.f.v v8,v16,v0.t",-,-,-,-,-,-,-,-,"1,025","2,025",4,8
"vfcvt.f.xu.v v8,v16,v0.t",-,-,-,-,-,-,-,-,"0,975","1,975",4,8
"vfcvt.f.x.v v8,v16,v0.t",-,-,-,-,-,-,-,-,1,2,4,8
"vfsqrt.v v8,v16,v0.t",-,-,-,-,-,-,-,-,"7,025","14,025","28,025","56,025"
"vfclass.v v8,v16,v0.t",-,-,-,-,-,-,-,-,"0,475","0,975",2,4
"vfncvt.xu.f.v v8,v16,v0.t",-,-,-,-,-,-,-,-,"2,025",4,8,-
"vfncvt.x.f.v v8,v16,v0.t",-,-,-,-,-,-,-,-,2,4,8,-
"vfncvt.f.xu.v v8,v16,v0.t",-,-,-,-,-,-,-,-,"1,975","3,975","7,975",-
"vfncvt.f.x.v v8,v16,v0.t",-,-,-,-,-,-,-,-,"2,025",4,8,-
"vfncvt.f.f.v v8,v16,v0.t",-,-,-,-,-,-,-,-,"1,975",4,8,-
"vfwcvt.xu.f.v v8,v16,v0.t",-,-,-,-,-,-,-,-,2,4,8,-
"vfwcvt.x.f.v v8,v16,v0.t",-,-,-,-,-,-,-,-,"2,025","4,025","8,025",-
"vfwcvt.f.xu.v v8,v16,v0.t",-,-,-,-,-,-,-,-,"1,975",4,8,-
"vfwcvt.f.x.v v8,v16,v0.t",-,-,-,-,-,-,-,-,"2,025",4,8,-
"vfwcvt.f.f.v v8,v16,v0.t",-,-,-,-,-,-,-,-,2,4,8,-
"vfwredsum.vs v8,v16,v24",-,-,-,-,-,-,-,-,"5,025","22,025","47,025",-
"vfwredsum.vs v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,15,37,81,-
"vfwredosum.vs v8,v16,v24",-,-,-,-,-,-,-,-,"4,6","21,975",47,-
"vfwredosum.vs v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,15,37,81,-
"vfwmsac.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,975","2,5",4,-
"vfwmsac.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"1,025","2,5",4,-
"vfwadd.vv v8,v16,v24",-,-,-,-,-,-,-,-,1,"1,975","3,975",-
"vfwadd.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,1,2,4,-
"vfwadd.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,375",3,"5,525",-
"vfwadd.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,35","2,975","5,5",-
"vfwsub.vv v8,v16,v24",-,-,-,-,-,-,-,-,1,2,4,-
"vfwsub.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,1,2,4,-
"vfwsub.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,35","2,975","5,5",-
"vfwsub.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,35","2,975","5,5",-
"vfwadd.wv v8,v16,v24",-,-,-,-,-,-,-,-,"2,325","4,625","9,325",-
"vfwadd.wv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"6,025","12,025","24,025",-
"vfwadd.wf v8,v16,ft0",-,-,-,-,-,-,-,-,77,79,83,-
"vfwadd.wf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,77,83,95,-
"vfwsub.wv v8,v16,v24",-,-,-,-,-,-,-,-,"2,35","4,65","9,35",-
"vfwsub.wv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,6,12,24,-
"vfwsub.wf v8,v16,ft0",-,-,-,-,-,-,-,-,76,78,82,-
"vfwsub.wf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,78,84,96,-
"vfwmul.vv v8,v16,v24",-,-,-,-,-,-,-,-,"0,975",2,4,-
"vfwmul.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,975",2,4,-
"vfwmul.vf v8,v16,ft0",-,-,-,-,-,-,-,-,"2,35","2,975","5,5",-
"vfwmul.vf v8,v16,ft0,v0.t",-,-,-,-,-,-,-,-,"2,35","2,975","5,5",-
"vfwmacc.vv v8,v16,v24",-,-,-,-,-,-,-,-,1,"2,5",4,-
"vfwmacc.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"1,025","2,5",4,-
"vfwnmacc.vv v8,v16,v24",-,-,-,-,-,-,-,-,"1,025","2,5",4,-
"vfwnmacc.vv v8,v16,v24,v0.t",-,-,-,-,-,-,-,-,"0,975","2,475","3,975",-
